#ID	Ca	Cb	Cc	Cd	Ce	Ch1a	Ch1b	Ch1c	Ch1d	Ch1e	Ch2a	Ch2b	Ch2c	Ch2d	Ch2e	Ch3a	Ch3b	Ch3c	Ch3d	Ch3e	Ch4a	Ch4b	Ch4c	Ch4d	Ch4e	Ch5a	Ch5b	Ch5c	Ch5d	Ch5e	E1a	E1b	E1c	E1d	E1e	Ra	Rb	Rc	Rd	Re	Wa	Wb	Wc	Wd	We	taxonomy
22591	0	0	0	0	0	17	24	15	1156	829	11	11	17	11	7	7	820	829	829	1156	1696	1356	1356	1496	827	820	1156	814	7	820	0	0	0	814	0	7	1156	820	0	820	1159	827	835	1496	1605	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
125326	1152	814	0	0	1152	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	1152	2216	1839	2142	1692	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria
227808	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	1958	2142	1901	1770	2009	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria
559688	0	0	0	0	0	17	835	1360	1696	17	11	1607	1611	824	1496	1696	7	17	17	1496	7	820	1156	1356	827	1356	1696	1152	1156	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
283193	1152	1351	1152	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	1356	1496	1496	1692	1696	824	827	1705	1843	2061	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
218565	0	1492	814	0	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	814	0	0	1496	1496	1356	1958	1356	1607	1162	835	1774	2105	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
279603	0	814	0	814	0	1501	24	827	1356	1163	824	11	829	1358	1156	820	1356	17	17	7	1356	7	820	7	15	1905	1356	2101	1356	1605	0	0	0	0	0	7	7	820	0	7	11	15	24	7	7	Root; k__Bacteria; p__Bacteroidetes; c__Sphingobacteria; o__Sphingobacteriales; f__Flammeovirgaceae
185783	1152	1492	1770	1958	1492	17	24	15	1356	17	824	1698	1501	1358	1156	7	7	17	17	7	1496	7	820	1605	1360	7	820	1152	7	7	0	0	0	0	0	7	7	7	814	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales; f__Kiloniellaceae
217732	0	0	0	0	0	17	835	827	1356	17	1607	1358	1910	1358	820	1156	1496	17	829	7	1905	820	820	7	1162	1156	1496	1770	1356	1156	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria
140931	2101	1351	1692	1601	1839	17	24	15	7	17	824	11	829	11	820	1356	1156	1163	1501	1774	7	7	7	7	15	7	7	0	7	7	814	0	0	814	1152	7	7	7	814	7	824	15	24	1356	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae
258793	0	814	814	814	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	820	15	7	7	0	7	7	814	0	0	0	0	1774	1605	1843	2180	1605	1607	1162	24	1843	1696	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
102362	814	0	0	1492	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	814	0	814	0	0	1605	1605	2220	1692	1496	1498	1360	1505	1962	1605	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
146977	0	0	0	0	0	17	24	1500	2013	1163	1698	2320	1779	1964	2013	7	820	17	17	7	820	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales; f__Kiloniellaceae
549366	2009	2314	2216	2180	1770	17	24	15	7	17	11	11	17	11	7	7	7	17	17	1156	820	820	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
177261	814	814	0	814	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	814	0	814	0	0	1905	1605	1962	1601	1605	1607	1162	835	2287	1905	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
404788	814	1351	1152	1152	1152	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	2009	2425	1839	2101	1839	7	7	7	0	7	1159	15	24	7	7	Root; k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae
87158	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	829	17	7	7	7	1843	7	15	2254	1843	2425	1774	2105	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
194508	814	1152	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	820	7	7	15	7	7	0	7	7	0	0	0	0	0	1496	1843	1962	2180	1843	1698	1360	24	2146	1843	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
313948	1492	1351	814	1492	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	2142	1958	2009	2057	2425	7	7	7	0	7	11	15	24	7	820	Root; k__Bacteria
549110	1839	1958	2216	1770	1770	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	820	0	7	7	1152	1770	1901	1770	2009	7	7	7	0	820	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
264673	0	0	814	814	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	820	7	7	15	7	7	0	7	7	0	0	0	0	0	1605	1843	1843	1492	1843	1776	1360	24	2061	2592	Root; k__Bacteria
141280	1492	1601	1692	1152	1492	829	24	15	7	17	1159	824	1163	1159	1156	7	7	17	17	1156	2184	1356	1605	1962	2188	7	1156	1351	820	7	0	814	0	0	0	7	7	1156	814	1156	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
245598	1152	1492	1351	1770	1601	829	24	15	7	17	1498	824	17	1159	1156	2287	2061	1779	1611	2318	7	7	7	7	15	7	7	0	7	7	814	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae
114493	0	0	0	0	0	17	24	15	7	17	824	1358	17	1358	1356	7	7	17	17	7	820	7	1156	820	15	1156	820	1351	820	820	0	0	0	0	0	2318	2146	2105	2314	1774	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
548593	814	0	814	1692	1492	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	814	7	7	1958	2283	1901	2451	2399	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__
534609	1601	1839	1692	1601	1492	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	1156	15	7	7	0	7	7	1692	2142	2216	2216	2180	7	7	7	814	820	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
140981	2251	2142	2009	2216	2009	17	24	15	820	17	11	11	17	11	7	1605	1156	829	1361	1774	7	7	7	7	15	7	820	0	7	820	1152	0	1351	1152	814	7	7	7	0	7	11	827	24	7	820	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae
